날짜,당기금액,전기금액,label,변동량,최종
20191114,"-251,347,140,041-211,846,899,628","257,250,596,724267,814,075,750",0,0,1
20200409,"-198,649,078,153-120,399,328,900","801,897,024,815907,879,961,829",0,1,0
20200414,"-622,761,502,186-568,732,636,375","-161,087,303,511-82,837,554,258",1,1,1
20200515,"-736,857,769,085-692,029,098,681","-116,951,954,237-89,359,817,710",1,0,0
20200814,"117,369,529,491162,404,789,796","-365,060,143,428-349,539,974,854",1,0,0
20201116,"-32,350,037,453-385,926,696,175","-225,128,703,825-185,628,463,415",1,1,1
20210318,"-230,018,634,965-194,631,398,841","-622,761,502,186-568,732,636,375",0,0,1
20160516,"5,252,803,000,0002,483,469,000,000","4,625,815,000,0002,491,718,000,000",1,0,0
20160816,"5,847,393,000,0002,745,396,000,000","5,752,297,000,0003,636,626,000,000",1,1,1
20161114,"4,537,855,000,0001,682,512,000,000","5,458,559,000,0003,140,174,000,000",0,0,1
20170331,"22,726,092,000,00011,579,749,000,000","19,060,144,000,00012,238,469,000,000",1,0,0
20170515,"7,684,354,000,0004,873,767,000,000","5,252,803,000,0002,483,469,000,000",1,1,1
20170814,"11,053,851,000,0006,143,724,000,000","5,847,393,000,0002,745,396,000,000",0,0,1
20171114,"11,193,411,000,0007,777,375,000,000","4,537,855,000,0001,682,512,000,000",0,0,1
20180402,"42,186,747,000,00028,800,837,000,000","22,726,092,000,00011,579,749,000,000",1,0,0
20180515,"11,688,544,000,0008,452,458,000,000","7,684,354,000,0004,873,767,000,000",0,0,1
20180814,"11,043,412,000,0008,077,985,000,000","11,053,851,000,0006,143,724,000,000",0,1,0
20181114,"13,150,715,000,00010,211,548,000,000","11,193,411,000,0007,777,375,000,000",1,0,0
20190401,"44,344,857,000,00032,815,127,000,000","42,186,747,000,00028,800,837,000,000",1,0,0
20190515,"5,043,585,000,0003,088,628,000,000","11,688,544,000,0008,452,458,000,000",1,0,0
20190814,"5,180,576,000,0004,063,169,000,000","11,043,412,000,0008,077,985,000,000",1,0,0
20191114,"6,287,664,000,0004,585,890,000,000","13,150,715,000,00010,211,548,000,000",1,1,1
20200330,"21,738,865,000,00015,353,323,000,000","44,344,857,000,00032,815,127,000,000",0,1,0
20200515,"4,884,926,000,0002,305,931,000,000","5,043,585,000,0003,088,628,000,000",0,0,1
20200814,"5,555,083,000,0003,522,241,000,000","5,180,576,000,0004,063,169,000,000",1,1,1
20201116,"9,360,693,000,0005,270,095,000,000","6,287,664,000,0004,585,890,000,000",1,1,1
20210309,"26,407,832,000,00015,615,018,000,000","21,738,865,000,00015,353,323,000,000",1,1,1
20160516,"15,930,790,04833,935,488,502","10,896,990,17077,901,604,989",1,1,1
20160816,"-212,397,797,862-143,143,859,061","-1,155,032,392,504-1,372,764,933,063",1,1,1
20161114,"128,605,753,776117,705,625,162","-25,028,191,826-31,873,608,810",1,1,1
20170331,"-138,776,906,437-134,734,538,838","-1,212,110,013,347-1,252,039,841,081",1,1,1
