,title,time
115,"LG생활건강, VDL 홀리데이 콜렉션 `골드크러시` 출시",2018-10-26 16:08:50
116,[다이제스트] LG생활건강 `후` 창덕궁서 궁중문화캠페인,2018-11-01 04:05:48
117,"(주)LG생활건강, 5가지 `출퇴근 시간`중 자유롭게 선택",2018-11-08 04:03:17
118,"[Hot-Line] ""LG생활건강, 中 현지에서 양호한 성장…내년도 실적 기대감↑""",2018-11-19 08:48:08
119,"LG생활건강, 김홍기 LG 부사장 승진 이동",2018-11-28 15:29:23
120,"LG생활건강, 협력회사 최고경영자 아카데미 개최",2018-12-06 09:36:03
121,[2018 하반기 히트상품] LG생활건강 `유쓰 크리에이터-에이지 넉다운 밤`,2018-12-18 04:03:54
122,"[Hot-Line] ""LG생활건강, 올 4분기 호실적 달성""",2018-12-24 08:48:03
123,K뷰티 신화 LG생활건강 `후`…최초 매출 2조원 돌파,2018-12-27 09:31:05
124,"LG생활건강 `더페이스샵`, `에이번` 中광저우 공장 인수",2019-01-09 17:40:09
125,"LG생활건강, 세제 6종 국내 최초 `포장재 재활용 1등급` 인증",2019-01-15 10:10:04
126,"키움증권, 연 12% 수익률 LG생활건강 ELS 출시",2019-01-16 10:02:04
127,"11번가, 오뚜기·LG생활건강 손잡고 3.1운동 100주년 기부 행사 진행",2019-02-28 11:30:01
128,"[주총현장] LG생활건강, 차석용 부회장 사내이사 재선임",2019-03-15 10:13:02
129,"[Hot-Line] ""LG생활건강, 분기 최대 매출 달성 기대…목표가↑""",2019-03-26 08:18:02
130,"[Hot-Line] ""LG생활건강, 중국 소비 고도화 장기추세""",2019-03-27 08:56:01
131,[다이제스트] LG생활건강 수려한 `유채꽃 에디션`,2019-04-11 04:05:04
132,"LG생활건강, 오랄케어 브랜드 모델로 박서준 발탁",2019-04-19 09:14:05
133,"LG생활건강, `로얄 헤리티지-후` 브랜드 캠페인",2019-05-02 11:10:01
134,"LG생활건강, `후` 스페셜 에디션 모은 전시회 개최",2019-05-07 15:07:01
135,"LG생활건강, 신개념 `오휘 파운데이션 쿠션` 출시",2019-05-08 09:38:06
136,"LG생활건강, 네이처컬렉션 뷰티 페스티벌 실시",2019-05-09 09:42:05
137,"LG생활건강, 신세계면세점에 `예화담` 첫 단독매장 오픈",2019-05-13 09:21:03
138,"LG생활건강, 中 구리나자 모델 `숨마 빛 에센스` 출시",2019-05-15 14:14:01
139,"LG생활건강, 한정판 에디션 `후 비첩 예찬 세트` 선봬",2019-05-16 14:29:01
140,"LG생활건강, `미래화장품 육성재단` 출범",2019-05-20 10:34:01
141,"[화장품] LG생활건강 `밀리언뷰티`, 코스메틱에 들어온 K댄스…밀레니얼 세대 `취향 저격`",2019-05-23 04:04:12
142,매출 `5%` 더페이스샵 직영몰 중단한 LG생활건강 속내는,2019-06-12 16:02:02
143,"LG생활건강, 공정위에 쿠팡 신고",2019-06-17 17:10:10
144,"[Hot-Line] “LG생활건강, 中 전자상거래법 영향은 제한적""",2019-06-24 08:27:03
145,"LG생활건강, 중고교 폭력 피해자 돕는다",2019-06-28 13:29:03
