"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014년 10월 31일","1,244,000","1,198,000","1,250,000","1,185,000","725.60K","5.33%"
"2014년 10월 30일","1,181,000","1,129,000","1,183,000","1,115,000","485.87K","4.51%"
"2014년 10월 29일","1,130,000","1,100,000","1,130,000","1,090,000","271.73K","3.57%"
"2014년 10월 28일","1,091,000","1,090,000","1,100,000","1,086,000","124.61K","-0.37%"
"2014년 10월 27일","1,095,000","1,101,000","1,111,000","1,087,000","167.59K","-1.53%"
"2014년 10월 26일","1,112,000","1,112,000","1,112,000","1,112,000","-","0.00%"
"2014년 10월 24일","1,112,000","1,103,000","1,112,000","1,092,000","154.89K","1.65%"
"2014년 10월 23일","1,094,000","1,113,000","1,113,000","1,090,000","167.23K","-0.91%"
"2014년 10월 22일","1,104,000","1,097,000","1,104,000","1,090,000","219.37K","1.94%"
"2014년 10월 21일","1,083,000","1,094,000","1,100,000","1,081,000","234.69K","-2.08%"
"2014년 10월 20일","1,106,000","1,115,000","1,117,000","1,101,000","189.25K","1.56%"
"2014년 10월 17일","1,089,000","1,106,000","1,115,000","1,087,000","309.06K","-2.33%"
"2014년 10월 16일","1,115,000","1,116,000","1,121,000","1,104,000","253.73K","-0.89%"
"2014년 10월 15일","1,125,000","1,128,000","1,145,000","1,120,000","280.75K","-0.18%"
"2014년 10월 14일","1,127,000","1,127,000","1,146,000","1,120,000","331.43K","1.71%"
"2014년 10월 13일","1,108,000","1,082,000","1,127,000","1,078,000","226.08K","0.27%"
"2014년 10월 12일","1,105,000","1,105,000","1,105,000","1,105,000","-","0.00%"
"2014년 10월 10일","1,105,000","1,100,000","1,114,000","1,099,000","436.38K","-2.21%"
"2014년 10월 09일","1,130,000","1,130,000","1,130,000","1,130,000","-","0.00%"
"2014년 10월 08일","1,130,000","1,142,000","1,151,000","1,124,000","292.61K","-2.75%"
"2014년 10월 07일","1,162,000","1,162,000","1,186,000","1,162,000","191.84K","0.96%"
"2014년 10월 06일","1,151,000","1,145,000","1,156,000","1,138,000","211.06K","0.88%"
"2014년 10월 02일","1,141,000","1,165,000","1,165,000","1,141,000","251.36K","-1.30%"
"2014년 10월 01일","1,156,000","1,174,000","1,183,000","1,156,000","220.32K","-2.36%"
"2014년 09월 30일","1,184,000","1,185,000","1,188,000","1,165,000","232.53K","-0.92%"
"2014년 09월 29일","1,195,000","1,193,000","1,200,000","1,170,000","183.69K","0.84%"
"2014년 09월 28일","1,185,000","1,185,000","1,185,000","1,185,000","-","0.00%"
"2014년 09월 26일","1,185,000","1,152,000","1,185,000","1,148,000","248.08K","2.51%"
"2014년 09월 25일","1,156,000","1,162,000","1,166,000","1,147,000","312.97K","0.52%"
"2014년 09월 24일","1,150,000","1,152,000","1,161,000","1,141,000","311.97K","-0.95%"
"2014년 09월 23일","1,161,000","1,178,000","1,185,000","1,161,000","389.39K","-2.27%"
"2014년 09월 22일","1,188,000","1,204,000","1,204,000","1,180,000","320.22K","-1.82%"
"2014년 09월 21일","1,210,000","1,210,000","1,210,000","1,210,000","-","0.00%"
"2014년 09월 19일","1,210,000","1,223,000","1,223,000","1,206,000","253.84K","0.00%"
"2014년 09월 18일","1,210,000","1,230,000","1,230,000","1,204,000","189.18K","-1.31%"
"2014년 09월 17일","1,226,000","1,207,000","1,226,000","1,207,000","141.30K","1.66%"
"2014년 09월 16일","1,206,000","1,208,000","1,215,000","1,201,000","135.64K","0.50%"
"2014년 09월 15일","1,200,000","1,207,000","1,208,000","1,196,000","140.15K","-0.08%"
"2014년 09월 14일","1,201,000","1,201,000","1,201,000","1,201,000","-","0.00%"
"2014년 09월 12일","1,201,000","1,200,000","1,208,000","1,200,000","204.65K","0.76%"
"2014년 09월 11일","1,192,000","1,200,000","1,207,000","1,192,000","435.61K","-0.75%"
"2014년 09월 10일","1,201,000","1,201,000","1,201,000","1,201,000","-","0.00%"
"2014년 09월 05일","1,201,000","1,215,000","1,216,000","1,195,000","210.20K","-0.74%"
"2014년 09월 04일","1,210,000","1,210,000","1,216,000","1,202,000","237.18K","1.77%"
"2014년 09월 03일","1,189,000","1,200,000","1,200,000","1,180,000","402.40K","-0.42%"
"2014년 09월 02일","1,194,000","1,221,000","1,225,000","1,194,000","314.80K","-2.61%"
"2014년 09월 01일","1,226,000","1,236,000","1,237,000","1,224,000","107.49K","-0.65%"
"2014년 08월 31일","1,234,000","1,234,000","1,234,000","1,234,000","-","0.00%"
"2014년 08월 29일","1,234,000","1,238,000","1,238,000","1,228,000","288.77K","-0.64%"
"2014년 08월 28일","1,242,000","1,258,000","1,258,000","1,236,000","191.94K","0.98%"
"2014년 08월 27일","1,230,000","1,223,000","1,237,000","1,222,000","241.75K","0.65%"
"2014년 08월 26일","1,222,000","1,235,000","1,235,000","1,221,000","211.21K","-0.49%"
"2014년 08월 25일","1,228,000","1,231,000","1,231,000","1,221,000","225.63K","-1.52%"
"2014년 08월 24일","1,247,000","1,247,000","1,247,000","1,247,000","-","0.00%"
"2014년 08월 22일","1,247,000","1,245,000","1,247,000","1,235,000","163.75K","0.97%"
"2014년 08월 21일","1,235,000","1,255,000","1,261,000","1,231,000","339.67K","-2.06%"
"2014년 08월 20일","1,261,000","1,264,000","1,271,000","1,251,000","187.70K","0.56%"
"2014년 08월 19일","1,254,000","1,264,000","1,273,000","1,253,000","193.32K","0.32%"
"2014년 08월 18일","1,250,000","1,279,000","1,280,000","1,250,000","209.65K","-0.87%"
"2014년 08월 14일","1,261,000","1,274,000","1,282,000","1,254,000","207.89K","-0.24%"
"2014년 08월 13일","1,264,000","1,275,000","1,275,000","1,248,000","255.54K","-0.16%"
"2014년 08월 12일","1,266,000","1,270,000","1,294,000","1,262,000","179.73K","-0.31%"
"2014년 08월 11일","1,270,000","1,275,000","1,282,000","1,257,000","306.68K","1.60%"
"2014년 08월 10일","1,250,000","1,250,000","1,250,000","1,250,000","-","0.00%"
"2014년 08월 08일","1,250,000","1,284,000","1,285,000","1,248,000","393.37K","-3.10%"
"2014년 08월 07일","1,290,000","1,300,000","1,302,000","1,285,000","185.34K","-0.77%"
"2014년 08월 06일","1,300,000","1,306,000","1,316,000","1,295,000","215.96K","-1.22%"
"2014년 08월 05일","1,316,000","1,301,000","1,321,000","1,300,000","172.42K","-0.08%"
"2014년 08월 04일","1,317,000","1,300,000","1,317,000","1,291,000","238.50K","1.93%"
"2014년 08월 03일","1,292,000","1,292,000","1,292,000","1,292,000","-","0.00%"
"2014년 08월 01일","1,292,000","1,305,000","1,328,000","1,292,000","552.12K","-3.80%"
"2014년 07월 31일","1,343,000","1,374,000","1,385,000","1,336,000","485.08K","-3.73%"
"2014년 07월 30일","1,395,000","1,388,000","1,408,000","1,374,000","347.13K","0.65%"
"2014년 07월 29일","1,386,000","1,355,000","1,388,000","1,353,000","256.13K","2.06%"
"2014년 07월 28일","1,358,000","1,355,000","1,367,000","1,344,000","172.64K","0.22%"
"2014년 07월 25일","1,355,000","1,346,000","1,355,000","1,335,000","166.86K","0.00%"
"2014년 07월 24일","1,355,000","1,350,000","1,358,000","1,331,000","160.90K","1.27%"
"2014년 07월 23일","1,338,000","1,354,000","1,357,000","1,335,000","128.31K","-0.74%"
"2014년 07월 22일","1,348,000","1,348,000","1,358,000","1,345,000","123.94K","-0.37%"
"2014년 07월 21일","1,353,000","1,349,000","1,360,000","1,343,000","161.18K","0.74%"
"2014년 07월 20일","1,343,000","1,343,000","1,343,000","1,343,000","-","0.00%"
"2014년 07월 18일","1,343,000","1,315,000","1,343,000","1,314,000","194.78K","0.98%"
"2014년 07월 17일","1,330,000","1,326,000","1,335,000","1,320,000","214.51K","0.68%"
"2014년 07월 16일","1,321,000","1,313,000","1,323,000","1,311,000","182.06K","0.08%"
"2014년 07월 15일","1,320,000","1,300,000","1,323,000","1,297,000","239.44K","2.64%"
"2014년 07월 14일","1,286,000","1,298,000","1,300,000","1,286,000","141.39K","0.16%"
"2014년 07월 13일","1,284,000","1,284,000","1,284,000","1,284,000","-","0.00%"
"2014년 07월 11일","1,284,000","1,300,000","1,302,000","1,282,000","215.26K","-1.68%"
"2014년 07월 10일","1,306,000","1,308,000","1,311,000","1,302,000","175.47K","-0.15%"
"2014년 07월 09일","1,308,000","1,287,000","1,308,000","1,283,000","228.59K","1.00%"
"2014년 07월 08일","1,295,000","1,294,000","1,319,000","1,287,000","241.12K","0.23%"
"2014년 07월 07일","1,292,000","1,291,000","1,301,000","1,290,000","170.76K","-1.07%"
"2014년 07월 06일","1,306,000","1,306,000","1,306,000","1,306,000","-","0.00%"
"2014년 07월 04일","1,306,000","1,322,000","1,326,000","1,303,000","119.17K","-0.91%"
"2014년 07월 03일","1,318,000","1,336,000","1,336,000","1,316,000","150.51K","-0.90%"
"2014년 07월 02일","1,330,000","1,317,000","1,331,000","1,306,000","216.72K","1.53%"
"2014년 07월 01일","1,310,000","1,308,000","1,314,000","1,301,000","171.55K","-0.91%"
"2014년 06월 30일","1,322,000","1,310,000","1,324,000","1,309,000","163.71K","0.84%"
"2014년 06월 29일","1,311,000","1,311,000","1,311,000","1,311,000","-","0.00%"
"2014년 06월 27일","1,311,000","1,307,000","1,319,000","1,306,000","174.98K","-1.06%"
"2014년 06월 26일","1,325,000","1,309,000","1,343,000","1,307,000","237.66K","0.38%"
"2014년 06월 25일","1,320,000","1,330,000","1,333,000","1,318,000","202.98K","-1.86%"
"2014년 06월 24일","1,345,000","1,340,000","1,354,000","1,332,000","234.96K","1.74%"
"2014년 06월 23일","1,322,000","1,321,000","1,332,000","1,316,000","234.81K","1.61%"
"2014년 06월 22일","1,301,000","1,301,000","1,301,000","1,301,000","-","0.00%"
"2014년 06월 20일","1,301,000","1,330,000","1,330,000","1,296,000","444.87K","-1.66%"
"2014년 06월 19일","1,323,000","1,345,000","1,349,000","1,320,000","434.52K","-2.58%"
"2014년 06월 18일","1,358,000","1,373,000","1,376,000","1,356,000","215.70K","-1.16%"
"2014년 06월 17일","1,374,000","1,360,000","1,378,000","1,351,000","226.99K","0.00%"
"2014년 06월 16일","1,374,000","1,380,000","1,382,000","1,362,000","290.31K","0.51%"
"2014년 06월 15일","1,367,000","1,367,000","1,367,000","1,367,000","-","0.00%"
"2014년 06월 13일","1,367,000","1,402,000","1,404,000","1,363,000","371.35K","-3.26%"
"2014년 06월 12일","1,413,000","1,430,000","1,430,000","1,401,000","252.65K","-0.63%"
"2014년 06월 11일","1,422,000","1,412,000","1,430,000","1,412,000","167.12K","-0.97%"
"2014년 06월 10일","1,436,000","1,421,000","1,438,000","1,405,000","170.05K","1.92%"
"2014년 06월 09일","1,409,000","1,470,000","1,473,000","1,402,000","440.92K","-3.29%"
"2014년 06월 08일","1,457,000","1,457,000","1,457,000","1,457,000","-","0.00%"
"2014년 06월 05일","1,457,000","1,466,000","1,480,000","1,450,000","259.58K","-0.88%"
"2014년 06월 04일","1,470,000","1,470,000","1,470,000","1,470,000","-","0.00%"
"2014년 06월 03일","1,470,000","1,484,000","1,495,000","1,465,000","334.44K","1.03%"
"2014년 06월 02일","1,455,000","1,443,000","1,458,000","1,439,000","145.21K","0.83%"
"2014년 06월 01일","1,443,000","1,443,000","1,443,000","1,443,000","-","0.00%"
"2014년 05월 30일","1,443,000","1,470,000","1,482,000","1,443,000","308.83K","-1.16%"
"2014년 05월 29일","1,460,000","1,450,000","1,465,000","1,440,000","249.20K","1.88%"
"2014년 05월 28일","1,433,000","1,419,000","1,435,000","1,409,000","163.63K","1.85%"
