"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 04월 27일","184,000","183,000","187,000","181,500","719.45K","0.55%"
"2020년 04월 26일","183,000","183,000","183,000","183,000","-","0.00%"
"2020년 04월 24일","183,000","184,500","188,500","182,000","1.07M","-1.35%"
"2020년 04월 23일","185,500","181,500","186,500","180,500","1.40M","4.80%"
"2020년 04월 22일","177,000","174,000","177,000","171,500","683.68K","0.85%"
"2020년 04월 21일","175,500","176,500","177,500","168,500","1.23M","0.29%"
"2020년 04월 20일","175,000","172,500","179,000","172,000","857.32K","1.74%"
"2020년 04월 19일","172,000","172,000","172,000","172,000","-","0.00%"
"2020년 04월 17일","172,000","169,000","172,500","167,500","944.90K","3.93%"
"2020년 04월 16일","165,500","159,000","167,000","158,500","1.00M","3.76%"
"2020년 04월 15일","159,500","159,500","159,500","159,500","-","0.00%"
"2020년 04월 14일","159,500","159,500","160,500","158,000","429.01K","1.27%"
"2020년 04월 13일","157,500","161,000","161,000","157,000","468.61K","-2.17%"
"2020년 04월 12일","161,000","161,000","161,000","161,000","-","0.00%"
"2020년 04월 10일","161,000","158,500","161,500","157,000","751.80K","1.90%"
"2020년 04월 09일","158,000","161,000","161,000","157,500","713.34K","0.00%"
"2020년 04월 08일","158,000","159,000","160,500","158,000","734.61K","-1.25%"
"2020년 04월 07일","160,000","163,500","164,500","158,500","911.41K","-0.31%"
"2020년 04월 06일","160,500","158,500","161,000","157,500","804.35K","1.90%"
"2020년 04월 05일","157,500","157,500","157,500","157,500","-","0.00%"
"2020년 04월 03일","157,500","158,500","159,000","155,000","544.23K","0.32%"
"2020년 04월 02일","157,000","152,000","157,000","149,000","1.04M","4.32%"
"2020년 04월 01일","150,500","156,000","158,500","150,000","784.85K","-3.22%"
"2020년 03월 31일","155,500","155,000","159,000","152,000","1.04M","1.63%"
"2020년 03월 30일","153,000","149,500","154,500","147,500","631.88K","0.33%"
"2020년 03월 29일","152,500","152,500","152,500","152,500","-","0.00%"
"2020년 03월 27일","152,500","156,500","157,000","149,000","956.64K","1.33%"
"2020년 03월 26일","150,500","155,000","156,000","150,000","0.08K","-2.59%"
"2020년 03월 25일","154,500","160,500","162,500","151,000","0.33K","0.00%"
"2020년 03월 24일","154,500","150,500","155,000","147,000","0.43K","7.67%"
"2020년 03월 23일","143,500","138,500","148,000","138,000","0.10K","-4.01%"
"2020년 03월 22일","149,500","149,500","149,500","149,500","-","0.00%"
"2020년 03월 20일","149,500","138,000","151,000","134,500","1.76M","11.57%"
"2020년 03월 19일","134,000","146,000","147,000","127,500","0.01K","-4.96%"
"2020년 03월 18일","141,000","148,500","152,000","140,500","1.10M","-4.41%"
"2020년 03월 17일","147,500","141,000","150,500","140,000","1.21M","0.00%"
"2020년 03월 16일","147,500","162,000","164,000","147,500","1.25M","-7.23%"
"2020년 03월 15일","159,000","159,000","159,000","159,000","-","0.00%"
"2020년 03월 13일","159,000","150,000","161,500","145,000","1.59M","-1.24%"
"2020년 03월 12일","161,000","167,000","169,000","158,500","1.22M","-4.73%"
"2020년 03월 11일","169,000","172,000","174,500","167,000","547.55K","-2.31%"
"2020년 03월 10일","173,000","164,500","174,500","164,000","948.75K","3.28%"
"2020년 03월 09일","167,500","171,000","171,500","166,000","802.79K","-4.56%"
"2020년 03월 08일","175,500","175,500","175,500","175,500","-","0.00%"
"2020년 03월 06일","175,500","176,500","178,500","174,000","561.50K","-2.23%"
"2020년 03월 05일","179,500","182,500","183,000","176,500","810.50K","0.00%"
"2020년 03월 04일","179,500","174,000","181,000","174,000","707.44K","2.57%"
"2020년 03월 03일","175,000","180,500","181,000","175,000","627.05K","0.00%"
"2020년 03월 02일","175,000","174,500","176,500","169,500","769.94K","1.74%"
"2020년 03월 01일","172,000","172,000","172,000","172,000","-","0.00%"
"2020년 02월 28일","172,000","174,500","176,500","170,500","1.02M","-3.64%"
"2020년 02월 27일","178,500","184,000","185,500","176,500","782.55K","-2.99%"
"2020년 02월 26일","184,000","183,500","185,500","181,500","513.18K","-0.81%"
"2020년 02월 25일","185,500","182,000","186,000","180,000","595.32K","1.09%"
"2020년 02월 24일","183,500","184,500","186,000","182,000","787.43K","-3.17%"
"2020년 02월 23일","189,500","189,500","189,500","189,500","-","0.00%"
"2020년 02월 21일","189,500","188,500","191,500","187,500","557.24K","-0.52%"
"2020년 02월 20일","190,500","190,500","191,500","188,000","545.06K","0.26%"
"2020년 02월 19일","190,000","184,000","190,500","183,500","1.35M","4.40%"
"2020년 02월 18일","182,000","180,500","183,500","179,000","586.45K","0.83%"
"2020년 02월 17일","180,500","180,000","182,000","179,000","328.55K","0.28%"
"2020년 02월 16일","180,000","180,000","180,000","180,000","-","0.00%"
"2020년 02월 14일","180,000","181,000","184,500","179,000","855.75K","0.56%"
"2020년 02월 13일","179,000","174,500","181,500","173,500","1.88M","4.07%"
"2020년 02월 12일","172,000","169,500","172,000","168,000","405.90K","1.18%"
"2020년 02월 11일","170,000","169,000","170,000","168,000","300.90K","0.59%"
"2020년 02월 10일","169,000","167,500","169,500","166,000","374.53K","0.90%"
"2020년 02월 09일","167,500","167,500","167,500","167,500","-","0.00%"
