접수번호,계정명,당기명,당기일자,당기금액,전기명,전기일자,전기금액
20170331004820,법인세차감전 순이익,제 49 기,2016.01.01 ~ 2016.12.31,"7,307,072,000,000",제 48 기,2015.01.01 ~ 2015.12.31,"8,459,373,000,000"
20170331004820,당기순이익,제 49 기,2016.01.01 ~ 2016.12.31,"5,719,653,000,000",제 48 기,2015.01.01 ~ 2015.12.31,"6,509,165,000,000"
20170331004820,유동자산,제 49 기,2016.12.31 현재,"24,175,403,000,000",제 48 기,2015.12.31 현재,"22,098,375,000,000"
20170331004820,비유동자산,제 49 기,2016.12.31 현재,"45,675,514,000,000",제 48 기,2015.12.31 현재,"44,879,849,000,000"
20170331004820,자산총계,제 49 기,2016.12.31 현재,"69,850,917,000,000",제 48 기,2015.12.31 현재,"66,978,224,000,000"
20170331004820,유동부채,제 49 기,2016.12.31 현재,"11,209,671,000,000",제 48 기,2015.12.31 현재,"12,173,086,000,000"
20170331004820,비유동부채,제 49 기,2016.12.31 현재,"6,061,535,000,000",제 48 기,2015.12.31 현재,"5,108,374,000,000"
20170331004820,부채총계,제 49 기,2016.12.31 현재,"17,271,206,000,000",제 48 기,2015.12.31 현재,"17,281,460,000,000"
20170331004820,이익잉여금,제 49 기,2016.12.31 현재,"48,405,444,000,000",제 48 기,2015.12.31 현재,"45,405,798,000,000"
20170331004820,자본총계,제 49 기,2016.12.31 현재,"52,579,711,000,000",제 48 기,2015.12.31 현재,"49,696,764,000,000"
20170331004820,매출액,제 49 기,2016.01.01 ~ 2016.12.31,"41,713,632,000,000",제 48 기,2015.01.01 ~ 2015.12.31,"44,439,694,000,000"
20170331004820,영업이익,제 49 기,2016.01.01 ~ 2016.12.31,"2,699,482,000,000",제 48 기,2015.01.01 ~ 2015.12.31,"4,267,256,000,000"
20170331004820,법인세차감전 순이익,제 49 기,2016.01.01 ~ 2016.12.31,"4,943,244,000,000",제 48 기,2015.01.01 ~ 2015.12.31,"6,680,063,000,000"
20170331004820,당기순이익,제 49 기,2016.01.01 ~ 2016.12.31,"4,101,860,000,000",제 48 기,2015.01.01 ~ 2015.12.31,"5,435,485,000,000"
20170515004197,유동자산,제 50 기1분기말,2017.03.31 현재,"69,633,170,000,000",제 49 기말,2016.12.31 현재,"72,449,600,000,000"
20170515004197,비유동자산,제 50 기1분기말,2017.03.31 현재,"103,607,601,000,000",제 49 기말,2016.12.31 현재,"106,386,328,000,000"
20170515004197,자산총계,제 50 기1분기말,2017.03.31 현재,"173,240,771,000,000",제 49 기말,2016.12.31 현재,"178,835,928,000,000"
