corp_code,corp_name,stock_code,modify_date
00247902,넷컴스토리지,037010,20170630
00318477,모디아,046000,20170630
00246815,성진산업,037650,20170630
00260921,아이엠아이티,038100,20170630
00247762,맥시스템,036880,20170630
00350224,슈마일렉트론,056500,20170630
00101992,센추리,006750,20170630
00151614,베네데스하이텍,009360,20170630
00179832,에스오케이,032610,20170630
00241120,세원텔레콤,036910,20170630
00277985,한강구조조정기금,036060,20170630
00325918,케이엔티,036590,20170630
00110981,대아리드선,009940,20170630
00116499,동신제약,006600,20170630
00104467,국민은행,031150,20170630
00257361,월드텔레콤,047610,20170630
00358730,업필,054370,20170630
00248406,화림모드,045920,20170630
00348788,디이시스,053200,20170630
00110963,대아건설,000380,20170630
00149840,중앙제지,005600,20170630
00267021,창민테크,042960,20170630
00330406,씨제이엔터테인먼트,049370,20170630
00110079,대백쇼핑,027700,20170630
00141440,지니웍스,036600,20170630
00135670,신광기업,001580,20170630
00144933,유진종합개발,023420,20170630
00371139,휘튼,066480,20170630
00218654,엠바이엔,031970,20170630
00115852,두산건설,002950,20170630
00113696,대호,001980,20170630
00253514,한신코퍼레이션,037120,20170630
00105509,금강화섬,010730,20170630
00163178,우리증권,001280,20170630
00264185,피코소프트,039580,20170630
00265157,바이오시스,035960,20170630
00270405,윌텍정보통신,039390,20170630
00125406,삼도물산,002930,20170630
00258731,현대멀티캡,035910,20170630
00822572,씨아이에스,144630,20170630
00423609,LG생명과학,068870,20170630
00580603,코리아퍼시픽01호선박투자회사,090970,20170630
00580612,코리아퍼시픽02호선박투자회사,090980,20170630
00317830,신양오라컴디스플레이,086830,20170630
00311030,미래에셋증권,037620,20170630
00439053,이룸지엔지,050640,20170630
00992312,에스와이이노베이션,194860,20170630
00580621,코리아퍼시픽03호선박투자회사,090990,20170630
00580630,코리아퍼시픽04호선박투자회사,091000,20170630
00262123,유아이에너지,050050,20170630
00533696,아시아퍼시픽14호선박투자회사,083610,20170630
00140362,제이에스전선,005560,20170630
00533757,아시아퍼시픽13호선박투자회사,083600,20170630
00533580,아시아퍼시픽10호선박투자회사,083570,20170630
01041217,현대에이블기업인수목적1호,204760,20170630
00533793,아시아퍼시픽11호선박투자회사,083580,20170630
00533836,아시아퍼시픽12호선박투자회사,083590,20170630
00144766,호반산업,004320,20170630
00525527,실리콘화일,082930,20170630
00372989,비엔씨컴퍼니,058370,20170630
00529523,동북아11호선박투자회사,083360,20170630
00526474,동북아14호선박투자회사,083390,20170630
00302801,디아이디,074130,20170630
